1,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
10,False,,[99],515580,en,How Star Wars Was Saved in the Edit,"Joey Scoma demonstrates how Star Wars (1977), a potential disaster in its rough cut, was saved in the editing.",1.83,/7nCnXxIqwETBDqpThq8ii3naKCC.jpg,2017-12-07,How Star Wars Was Saved in the Edit,False,7.0,2
11,False,,[35],351651,en,The Untitled Star Wars Mockumentary,Damon Packard parodies the making of Star Wars: Attack of the Clones.,0.907,,2003-06-25,The Untitled Star Wars Mockumentary,False,5.0,1
12,False,,[],482287,en,The Stars of Star Wars,Interviews with the cast of all the Star Wars films and inside info on the films.,0.878,/pOIccovMDv11T7GAVR0C0d3vi7G.jpg,1999-10-20,The Stars of Star Wars,True,5.0,1
13,False,,"[878, 28, 12]",486217,en,Untitled Star Wars Trilogy: Episode III,"The third in a trilogy of films, separate from the episodic Skywalker Saga.",1.176,,,Untitled Star Wars Trilogy: Episode III,False,0.0,0
14,False,,[],811318,en,WCCW Thanksgiving Star Wars,Kerry Von Erich and Michael Hayes clash in a steel cage in a loser leaves town match.,0.6,,1983-11-24,WCCW Thanksgiving Star Wars,True,0.0,0
15,False,,[878],839036,en,Death Sticks: A Star Wars Story,This film takes place shortly after the events of The Phantom Menace and follows Anakin Skywalker on his journey to become a Jedi Knight.,1.102,/A5nyzE3TplDkNH0r0az9KhXYecR.jpg,2017-11-30,Kid Anakin Movie,True,0.0,0
16,False,,[],778612,en,WCCW Christmas Star Wars '84,"Kerry Von Erich seeks revenge and The NWA World's Heavyweight Championship from ""The Nature Boy"" Ric Flair.",0.6,,1984-12-25,WCCW Christmas Star Wars '84,True,0.0,0
17,False,,[],777740,en,WCCW Star Wars (February 1981),"Kerry Von Erich gets his shot at the NWA World's Heavyweight Championship. But to become a champion ""The Modern-Day Warrior"" will need to topple NWA kingpin Harley Race.",0.6,,1981-02-22,WCCW Star Wars (February 1981),True,0.0,0
18,False,,"[16, 878]",796408,en,Star Wars Rebels: Property of Ezra Bridger,"In “Property of Ezra Bridger,” a special Star Wars Rebels short, Ezra finds a downed TIE fighter on the plains of Lothal. The young rebel opens the ship’s hatch -- pretending to help the ungrateful Imperial pilot -- and leaves with a few souvenirs.",1.261,/u14Wds1CL8yYsE47H1A0TOrogxK.jpg,2014-09-01,Star Wars Rebels: Property of Ezra Bridger,False,0.0,0
19,False,,[99],721334,en,Star Wars: Episode III - Making the Game,"After you witness the stunning Jedi action in Episode III, you can experience it yourself in the Star Wars: Episode III video game. Discover how game developers at LucasArts worked closely on set and behind the scenes with George Lucas, cast and crew to create the most authentic Jedi experience ever. With the collaboration of Lucas, stunt coordinator Nick Gillard, and Hayden Christensen, Episode III is the first game that truly gives you all the powers of a Jedi Knight.",0.87,/qNT8gxk6XLM7LBzUDmTlGzc5i4S.jpg,,Star Wars: Episode III - Making the Game,False,10.0,1
0,False,/bjp1gezn4DzP8juI3ZvjN4uPlsK.jpg,"[99, 35, 9648]",638738,en,The Empire Strikes Door (A Star Wars Mystery),A thrilling comedic documentary attempting to uncover the mystery of who is responsible for one of the most infamous bloopers in cinematic history.,1.523,/mRGS7AdkSOBTGNdfD5Q5TusHtez.jpg,2019-09-25,The Empire Strikes Door (A Star Wars Mystery),False,8.0,1
1,False,,"[99, 878]",713695,en,Star Wars vs. Star Trek: The Rivalry Continues,"For years, STAR WARS fan have squared off against STAR TREK fans over which space fantasy is the better choice. As a result, both franchises have been embroiled in a continuing battle for merchandise sales, publicity and box-office receipts. The science-fiction genre has never seen anything like it and, as these fictional universes continue to expand, the competition seems to be never ending. Star Wars vs. Star Trek: The Rivalry Continues compares the space opera worlds of George Lucas and Gene Roddenberry for a one-of-a-kind intergalactic documentary.",1.237,/3QjqzSGuH10u2vfvzuvX7e2xQ8L.jpg,2002-01-01,Star Wars vs. Star Trek: The Rivalry Continues,False,0.0,0
2,False,,"[878, 28, 12]",486216,en,Untitled Star Wars Trilogy: Episode II,"The second in a trilogy of films, separate from the episodic Skywalker Saga.",0.921,,,Untitled Star Wars Trilogy: Episode II,False,0.0,0
