1,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
0,False,/iPnH51khswDrYij6XIBHKlAznW.jpg,"[12, 28, 878]",11,en,Star Wars,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,82.349,/6FfCtAuVAW8XJjZ7eWeLibRLWTw.jpg,1977-05-25,Star Wars,False,8.2,16456
1,False,/f53Jujiap580mgfefID0T0g2e17.jpg,"[10751, 16, 878, 35]",857702,en,LEGO Star Wars Terrifying Tales,"Poe Dameron and BB-8 must face the greedy crime boss Graballa the Hutt, who has purchased Darth Vader’s castle and is renovating it into the galaxy’s first all-inclusive Sith-inspired luxury hotel.",125.645,/fYiaBZDjyXjvlY6EDZMAxIhBO1I.jpg,2021-10-01,LEGO Star Wars Terrifying Tales,False,6.8,113
2,False,/k6EOrckWFuz7I4z4wiRwz8zsj4H.jpg,"[28, 12, 878, 14]",140607,en,Star Wars: The Force Awakens,"Thirty years after defeating the Galactic Empire, Han Solo and his allies face a new threat from the evil Kylo Ren and his army of Stormtroopers.",78.569,/wqnLdwVXoBjKibFRR5U3y0aDUhs.jpg,2015-12-15,Star Wars: The Force Awakens,False,7.3,16502
3,False,/epVMXf10WqFkONzKR8V76Ypj5Y3.jpg,"[878, 28, 12]",181808,en,Star Wars: The Last Jedi,"Rey develops her newly discovered abilities with the guidance of Luke Skywalker, who is unsettled by the strength of her powers. Meanwhile, the Resistance prepares to do battle with the First Order.",73.022,/kOVEVeg59E0wsnXmF9nrh6OmWII.jpg,2017-12-13,Star Wars: The Last Jedi,False,6.9,12550
4,False,/SPkEiZGxq5aHWQ2Zw7AITwSEo2.jpg,"[28, 12, 878]",181812,en,Star Wars: The Rise of Skywalker,"The surviving Resistance faces the First Order once again as the journey of Rey, Finn and Poe Dameron continues. With the power and knowledge of generations behind them, the final battle begins.",72.88,/db32LaOibwEliAmSL2jjDF6oDdj.jpg,2019-12-18,Star Wars: The Rise of Skywalker,False,6.5,7353
5,False,/x27wDu2yYCMQeLpup1CDY2CtL9t.jpg,"[878, 12, 28]",348350,en,Solo: A Star Wars Story,"Through a series of daring escapades deep within a dark and dangerous criminal underworld, Han Solo meets his mighty future copilot Chewbacca and encounters the notorious gambler Lando Calrissian.",49.164,/4oD6VEccFkorEBTEDXtpLAaz0Rl.jpg,2018-05-15,Solo: A Star Wars Story,False,6.6,6734
6,False,/6t8ES1d12OzWyCGxBeDYLHoaDrT.jpg,"[28, 12, 878]",330459,en,Rogue One: A Star Wars Story,A rogue band of resistance fighters unite for a mission to steal the Death Star plans and bring a new hope to the galaxy.,46.835,/i0yw1mFbB7sNGHCs7EXZPzFkdA1.jpg,2016-12-14,Rogue One: A Star Wars Story,False,7.5,12711
7,False,/uK15I3sGd8AudO9z6J6vi0HH1UU.jpg,"[16, 28, 878, 12]",12180,en,Star Wars: The Clone Wars,"Set between Episode II and III, The Clone Wars is the first computer animated Star Wars film. Anakin and Obi Wan must find out who kidnapped Jabba the Hutt's son and return him safely. The Seperatists will try anything to stop them and ruin any chance of a diplomatic agreement between the Hutts and the Republic.",34.433,/ywRtBu88SLAkNxD0GFib6qsFkBK.jpg,2008-08-05,Star Wars: The Clone Wars,False,6.1,1483
8,False,,[],914573,en,Star Wars: Wrath of the Mandalorian,"Years after the Clone Wars end, Darth Vader sends bounty hunter Boba Fett to Kashyyyk to track down the last of the Jedi. Fett, motivated by revenge for his father's death, proves effective - but he soon finds out a terrible truth about Vader while on the hunt that gives him a change of heart.",57.067,/ksil1FjB7AfNk34LAti0636pyTd.jpg,,Star Wars: Wrath of the Mandalorian,False,8.0,1
9,False,/8MynmjcKSvGdcxjVwsx3TWwOTBa.jpg,"[12, 28, 878]",1893,en,Star Wars: Episode I - The Phantom Menace,"Anakin Skywalker, a young slave strong with the Force, is discovered on Tatooine. Meanwhile, the evil Sith have returned, enacting their plot for revenge against the Jedi.",38.892,/6wkfovpn7Eq8dYNKaG5PY3q2oq6.jpg,1999-05-19,Star Wars: Episode I - The Phantom Menace,False,6.5,11690
10,False,/1Lhc32P0a62BgMFgd20wXR1osR3.jpg,"[16, 10751, 12, 35, 878]",732670,en,The Lego Star Wars Holiday Special,"As her friends prep for a Life Day holiday celebration, Rey journeys with BB-8 on a quest to gain a deeper knowledge of the Force at a mysterious Jedi Temple. There, she embarks on a cross-timeline adventure through beloved moments in Star Wars history, coming into contact with iconic heroes and villains from all eras of the saga. But will she make it back in time for the Life Day feast?",29.146,/zyzJSI7UZZzz5Toj10rYGF5689z.jpg,2020-11-17,The Lego Star Wars Holiday Special,False,6.7,210
11,False,/uNjBnOmdjZoiWTLQ938YJZ1cYVU.jpg,"[16, 35, 10751, 878, 12, 10770]",392216,en,Phineas and Ferb: Star Wars,Phineas and Ferb become the galaxy's unlikeliest last hope when they must return the Death Star plans to the Rebel Alliance.,13.195,/xomphpz7MIasqVluPX83TjoTL8G.jpg,2014-07-26,Phineas and Ferb: Star Wars,False,7.0,130
12,False,/7J6iJrsXz5PpkTzNfLWM73u6EAy.jpg,"[878, 12, 28]",1895,en,Star Wars: Episode III - Revenge of the Sith,The evil Darth Sidious enacts his final plan for unlimited power -- and the heroic Jedi Anakin Skywalker must choose a side.,34.201,/xfSAoBEm9MNBjmlNcDYLvLSMlnq.jpg,2005-05-17,Star Wars: Episode III - Revenge of the Sith,False,7.4,10953
13,False,/c8XIFuJCPTtTJdSRpqnUoMr6eK1.jpg,[878],667574,en,Battle Star Wars,"When the leader of the evil Coalition threatens to destroy a Rebel planet for its resources, his daughter will have no choice but to join the Rebel side and fight for what is right.",10.763,/ocA0ECiFoB4d1HITyEDQlLk7x84.jpg,2020-01-28,Battle Star Wars,False,5.3,28
14,False,/pXnNSeyTCUebjpHTiZt7v6FZId0.jpg,"[12, 28, 878]",1894,en,Star Wars: Episode II - Attack of the Clones,"Following an assassination attempt on Senator Padmé Amidala, Jedi Knights Anakin Skywalker and Obi-Wan Kenobi investigate a mysterious plot that could change the galaxy forever.",32.075,/oZNPzxqM2s5DyVWab09NTQScDQt.jpg,2002-05-15,Star Wars: Episode II - Attack of the Clones,False,6.5,10562
15,False,,"[16, 35, 878]",42979,en,Robot Chicken: Star Wars,"A series of 30 sketches, following the hilarious antics of various characters from a galaxy, far, far away.",13.59,/h44WN4mVJ6wEpJgLaaNoFjv0NAo.jpg,2007-07-17,Robot Chicken: Star Wars,False,7.2,185
16,False,,[99],435365,en,The Story of Star Wars,"The Skywalker family is at the heart of the Star Wars saga. Now hear the inside story of Luke and Anakin Skywalker from the characters who witnessed it all: the famous droid duo C-3PO and R2-D2. Episodes IV,V and VI are explored in ""The Story of Luke Skywalker,"" which follows the young man escaping from his daily chores on Tatooine to his becoming a hero in the Rebal Alliance. In ""The Story of Anakin Skywalker,"" you'll go behind the mask of the greatest Star Wars villain and discover how Darth Vader started life as a young Podracing Champ on Tatooine and later became a headstrong young Jedi seduced by the Dark Side of the Force. With clips from the Star Wars films, C-3PO and R2-D2 take you on an hour-long journey through the saga and prepare you for the explosive final chapter: Star Wars: Episode III Revenge of the Sith.",14.907,/fvw9W7ds0Q51hQIbS7JoUBqL3tK.jpg,2004-08-18,The Story of Star Wars,False,7.6,13
17,False,/ae9xlnkS2qb5Dy9Mtlu68AWh42O.jpg,"[12, 35, 10751, 878, 10770]",74849,en,The Star Wars Holiday Special,"Luke Skywalker and Han Solo battle evil Imperial forces to help Chewbacca reach his imperiled family on the Wookiee planet - in time for Life Day, their most important day of the year!",13.715,/1TY4OAkcHRovlHDxSLW7UDJlild.jpg,1978-12-01,The Star Wars Holiday Special,False,3.3,337
18,False,,[99],378386,en,Star Wars: Greatest Moments,Alex Zane counts down the top 20 Star Wars moments as voted by the public. Includes contributions from famous fans as well as the stars and crew of the intergalactic saga.,8.299,/zIffPwISrW48qSmvAXEV27lBTMA.jpg,2015-12-26,Star Wars: Greatest Moments,False,6.4,23
19,False,/5lERsrmxhb6ggGQZDHe05qeNCnD.jpg,"[12, 16, 28, 878, 10770, 10751]",287663,en,Star Wars Rebels: Spark of Rebellion,Ezra Bridger encounters the Ghost crew and joins them on a mission to free Wookiees from an Imperial Star Destroyer.,11.952,/ApPuHAhH4wYGb4YCLChJYQvHUEF.jpg,2014-10-03,Star Wars Rebels: Spark of Rebellion,False,7.3,100
0,False,,[99],81418,en,Star Wars: Deleted Magic,"This is a very interesting Star Wars documentary about the making of the first Star Wars film (and to a lesser extent Empire and Jedi) including a look at some of the deleted scenes, behind the scenes footage, and notes on subtle things that you might have never seen or noticed before.",6.218,/dhTb1CYXdfxMT2RAPCeFAvfmWiT.jpg,2005-03-01,Star Wars: Deleted Magic,False,7.5,14
1,False,,"[35, 878, 16]",51888,en,Robot Chicken: Star Wars Episode III,"Robot Chicken: Star Wars Episode III, directed by Chris McKay, combines the satirical sensibilities of Green and Matthew Senreich's Robot Chicken with characters of the Star Wars universe.",9.832,/mi2lVho2zpfwcxI6yC1QYJi435D.jpg,2010-12-19,Robot Chicken: Star Wars Episode III,False,7.5,109
2,False,/hVl0qfLZ5loznDgQ0HxCTZqvZhz.jpg,"[10751, 16, 878, 35, 12, 18]",70608,en,LEGO Star Wars: The Padawan Menace,"Master Yoda must go retrieve secret battle plans. However, things become a little more complicated when a class of younglings join the mission.",8.606,/lcAA36kzOahKXVwWeJLaepMr58M.jpg,2011-07-22,LEGO Star Wars: The Padawan Menace,False,6.4,103
3,False,,"[878, 16, 35]",42982,en,Robot Chicken: Star Wars Episode II,"Seth Green and Matthew Senreich serve up more hilarious Star Wars-inspired satire in this second compilation of sketches featuring the zany stop-motion animation of Adult Swim's ""Robot Chicken."" Gary the stormtrooper deals with irascible boss Darth Vader on Take Your Daughter to Work Day, while Anakin babysits a certain up-and-coming Jedi. Carrie Fisher, Billy Dee Williams, Conan O'Brien and other stars provide voices.",8.329,/15L0z57jELdzynqcbWq0fFFou48.jpg,2008-11-16,Robot Chicken: Star Wars Episode II,False,7.5,103
4,False,/aUxPyo0Olrr6qs33fKkjbX2piYk.jpg,[35],515773,en,Star Wars Spoofs,"The farce is strong with this one! Enjoy a hilarious collection of Star Wars movie scene spoofs and parodies that have been created over the years, including outrageous clips from Family Guy, The Simpsons, How I Met Your Mother, and more - and don't miss ""Weird Al"" Yankovic's one-of-a-kind music video tribute to The Phantom Menace!",4.745,/ApEnrioR2GrkyWVXCrIzDMtgk9b.jpg,2011-01-01,Star Wars Spoofs,False,7.2,9
5,False,/1Hhp0ys20V6I73Ph0MyhcDX2KOX.jpg,[99],128295,en,Star Wars: The Legacy Revealed,Film-makers and academics discuss the use of mythology in Star Wars and the impact of the films on society,6.053,/dFvudLgvS0Upn2X6wPBRnntXCBy.jpg,2007-05-28,Star Wars: The Legacy Revealed,False,7.1,33
6,False,/oxWdpHHrdGaB3ZK4JpBnEQ8msrp.jpg,"[99, 10770]",72694,en,The Making of Star Wars,"Learn the incredible behind-the-scenes story of how the original Star Wars  movie was brought to the big screen in this fascinating documentary hosted by C-3PO and R2-D2 which includes interviews with George Lucas and appearances by Mark Hamill, Harrison Ford and Carrie Fisher.",6.367,/SUuNG1l918uBNMZZRDrUQMvwzt.jpg,1977-09-16,The Making of Star Wars,False,7.2,29
7,False,/35JfUNTaFELC9iMoLTaLeGlok4V.jpg,[10402],72448,en,Star Wars: In Concert,"Star Wars: In Concert, originally called Star Wars: A Musical Journey, was a worldwide series of concerts featuring specially edited footage from all six of the Star Wars films (on the world's largest LED screen) set to live performances of John Williams' Star Wars score. The first performance took place in the O2 Arena in London, England. It was attended by 20,000 fans. The North American concerts started in Anaheim, California on October 1, 2009. The concerts were narrated by Anthony Daniels and conducted by Dirk Brosse. The concert took the audience through the Star Wars story line starting with Star Wars: Episode I The Phantom Menace and ending with Star Wars: Episode VI Return of the Jedi. The concert toured throughout the world extensively in 2009 and 2010, with an announced two-date engagement (June 3 and 4, 2011) at the Hollywood Bowl in 2011.",4.677,/z9YDGgR5p34ODJj3N4uY7bHKU1.jpg,2005-05-03,Star Wars: In Concert,False,7.2,15
8,False,,"[12, 16, 878, 28]",337755,en,Star Wars Rebels: The Siege of Lothal,The Ghost crew and their allies face Darth Vader for the first time and Ahsoka Tano discovers the true identity of Darth Vader.,8.387,/pxMAPq5R7o3zQh5DmJ76cW5vVIu.jpg,2015-04-18,Star Wars Rebels: The Siege of Lothal,False,8.2,53
9,False,,"[878, 14]",760801,en,Untitled Star Wars Film,,4.292,/fGCNMXdNfHxW0QIhAlIMCtnVw6Z.jpg,2027-12-17,Untitled Star Wars Film,False,0.0,0
10,False,,[99],436621,fr,Star Wars : L'incroyable Légende,,4.02,/nsZIPT5pyvXHftO8bH4o7LU8Vch.jpg,2015-11-25,Star Wars : L'incroyable Légende,False,7.3,4
11,False,/puuJM5KzLAqxp88erpHRw0fVZx8.jpg,[99],76180,en,Empire of Dreams: The Story of the Star Wars Trilogy,"From the earliest versions of the script to the blockbuster debuts, explore the creation of the Star Wars Trilogy.",12.961,/xq0MPT1lLxfznTRaAbInxWT2wfh.jpg,2004-09-12,Empire of Dreams: The Story of the Star Wars Trilogy,False,7.8,135
12,False,,[99],154452,en,Star Wars Tech,"Exploring the technical aspects of Star Wars vehicles, weapons and gadgetry, Star Wars Tech consults leading scientists in the fields of physics, prosthetics, lasers, engineering and astronomy to examine the plausibility of Star Wars technology based on science as we know it today.",3.067,/z5rTBu5RMfR0RRqsNSqIHBnQPbN.jpg,2007-05-28,Star Wars Tech,False,8.1,5
13,False,/7rZrvtpQTrA9B1nqoHNGjsp8j8i.jpg,"[878, 99]",825647,en,Star Wars Biomes,"Take a virtual vacation to some of the Star Wars films’ most iconic and beloved locations like Hoth, Tatooine, and Sorgan, as this charming series whisks you off for fly-through tours of the Galaxy Far, Far Away.",2.787,/8I69ReO2IZtcpXnzZpKeswpPI33.jpg,2021-05-04,Star Wars Biomes,False,6.6,20
14,False,,"[16, 28, 12]",184902,en,Star Wars: The Clone Wars - Darth Maul Returns,"After Dathomir falls prey to a merciless attack by General Grievous, Asajj Ventress survives to join a bounty hunter clan led by a young Boba Fett. Meanwhile, the dark warrior Savage Opress returns to his creator, the witch Mother Talzin, who gives him a sinister mission: to search the galaxy for his brother, Sith Apprentice Darth Maul. Believed dead for over a decade after falling to the sword of then Jedi Apprentice Obi-Wan Kenobi, Darth Maul is nearly unrecognizable, residing in the bowels of a ruined planet and fueled by hatred. Savage Opress delivers the shattered Maul to Mother Talzin to restore his former powers, and the brothers vow an oath of vengeance against Obi-Wan Kenobi.",7.458,/mOtQgGmdNxouIiMLIPUzIe94UbZ.jpg,2012-09-11,Star Wars: The Clone Wars - Darth Maul Returns,True,7.5,17
15,False,/aM1dP91YFVPsgq1WG8vMwip9zLe.jpg,"[10751, 878, 16, 35, 12]",136406,en,LEGO Star Wars: The Empire Strikes Out,"Luke Skywalker embarks on a mission to destroy an Imperial base, but is relentlessly chased by a group of fanatic girls who think of him as a celebrity. Meanwhile, Darth Vader engages a rivalry with Darth Maul, in order to prove that he's the best Sith Lord.",6.336,/doeFDzZ0Ywp8YUoRaEhVE5UBqka.jpg,2012-09-24,LEGO Star Wars: The Empire Strikes Out,False,6.5,62
16,False,/zMkJR6l0V4StABxqNzSLR6cZhTd.jpg,"[878, 35]",567097,es,Star Wars: Goretech,"The imperial forces of Lord Quimio capture princess Felelia and steal a big cargo of vital force for the rebellion. Obi Wan Quequena, warned by the princess, starts gathering a group of brave people to recover the force, save the princess and end the empire that strikes the galaxy.",2.607,/cDYtrX0r80OdhzT78dZaUUunioT.jpg,2018-12-07,Star Wars: Goretech,False,5.0,2
17,False,,"[99, 10770]",358536,en,When Star Wars Ruled the World,A VH1 television special wherein the cast discuss the making of the films and what made the franchise a phenomenon.,5.89,/qj2xUorXu1pxhXAFyNooGTlqAlT.jpg,2004-09-18,When Star Wars Ruled the World,False,8.5,5
18,False,,"[28, 12, 16, 878, 10770]",418363,en,Star Wars Rebels: Steps Into Shadow,"Ezra, having grown in power, leads a mission to break the crew's old friend Hondo Ohnaka out of prison. Meanwhile, Grand Admiral Thrawn -- a master Imperial strategist -- has vowed to dismantle and destroy the growing rebellion.",5.049,/zJzTpfdmPVKdZtoAjJqQlLPTZea.jpg,2016-07-16,Star Wars Rebels: Steps Into Shadow,False,8.1,28
19,False,,"[878, 16]",796168,en,Star Wars Rebels: Entanglement,"In “Entanglement,” a special Star Wars Rebels short, Zeb fails to meet with Kanan at a specified rendezvous point…and instead finds himself joyfully battling many, many stormtroopers.",2.071,/93LSkSWsEP6ppPytZn3V2DO93lj.jpg,2014-08-25,Star Wars Rebels: Entanglement,False,0.0,0
0,False,,[99],486000,en,The Characters of Star Wars,"The Characters of Star Wars is a Video Documentary included in the 2004 DVD release of the Star Wars Original Trilogy. It explained the Mythos of many of the ""Star Wars"" Characters.",3.023,/kCo4AowrEKh4lZBCtgGNrGXPNli.jpg,2004-09-21,The Characters of Star Wars,False,6.6,8
1,False,/aLdrVW80OrNQWxiqlU3N2dZJK8X.jpg,[99],624371,en,Star Wars: Galaxy's Edge - Adventure Awaits,An exclusive behind-the-scenes look at the new lands at Walt Disney World Resort in Florida and Disneyland Resort in Southern California.,3.59,/8YONsxklf7y2fnx8mOjNeWTgfPD.jpg,2019-09-29,Star Wars: Galaxy's Edge - Adventure Awaits,False,7.0,4
2,False,/jTB8BKStGgIktED2yVMA6U6mppl.jpg,"[10751, 16, 878, 35]",79158,en,LEGO Star Wars: Bombad Bounty,"Darth Vader hires Boba Fett to track down Jar Jar Binks, who has caused a lot of trouble for Vader. This leads Binks and Fett on a game of cat-and-mouse like never seen before.",2.72,/r088BCbLiSxccTHXxIZBZ5olRvM.jpg,2010-11-27,LEGO Star Wars: Bombad Bounty,False,5.8,21
3,False,,"[16, 878, 28]",914212,en,Star Wars: Clone Wars - Volume One,"Jedi Knight Obi-Wan Kenobi leads an assault on the planet Muunilinst, home of the Intergalactic Banking Clan, benefactors of the Separatists wishing to break away from the Republic. His apprentice, Anakin Skywalker, is personally appointed to lead the space forces by Supreme Chancellor Palpatine. Meanwhile, Separatist leader Count Dooku takes in the Force-sensitive Asajj Ventress as his Sith apprentice and sends her to eliminate Anakin.  Seasons 1 and 2 of the Clone Wars microseries edited together into a feature length animated film!",2.65,/aDWiLnxdZp1OpHQCiac01EfOx7k.jpg,2005-03-22,Star Wars: Clone Wars - Volume One,False,0.0,0
4,False,,[99],372906,en,The Definitive History of Star Wars,"Documentary taking a behind-the-scenes look at how the world's biggest, multi-billion pound movie series came into existence. Featuring rare interviews with Star Wars producers Gary Kurtz and Robert Watts and insights from those members of the creative team who won Oscars making the visual effects. Plus, a few little-known and surprising facts surrounding the film franchise",2.96,,2015-12-11,The Definitive History of Star Wars,False,7.5,3
5,False,/tMZKHUJOB1QhRe6xHwK1OAq5sJL.jpg,[],465886,en,Star Wars Rebels: Art Attack,Sabine sneaks into an Imperial compound to create an artful diversion for her friends aboard the Ghost.,2.227,/1SsCBdiFSJb1WZpAZCEvUzEmtzi.jpg,2014-08-18,Star Wars Rebels: Art Attack,False,6.4,9
6,False,,[99],432134,en,Star Wars: Heroes & Villains,"A look at the creation and filming of the various heroes and villains from all six Star Wars movies, leading up to the release of Star Wars: Episode III - Revenge of the Sith.",1.176,,2005-05-03,Star Wars: Heroes & Villains,False,9.7,3
7,False,,"[10751, 16, 878]",81233,en,LEGO Star Wars: The Quest for R2-D2,"When R2-D2 gets lost in space, Anakin Skywalker and his apprentice Ahsoka Tano set off on a mission to find their droid pal.",2.772,/pfI6dMB5aplRYe7vSniDznnFWUx.jpg,2009-06-27,LEGO Star Wars: The Quest for R2-D2,False,5.5,24
8,False,,"[878, 16, 10751, 10770]",248931,en,Star Wars: Droids - The Great Heep,"C-3PO and R2-D2 are on their way to Biitu to meet their new master, Mungo Baobab, when their ship is attacked and they are taken prisoner. Biitu has been taken over by the giant mechanical Great Heep who works with the Empire, enslaving the natives by using droid enforcers and draining R2 units to keep up his strength. Meanwhile Mungo has been imprisoned to be handed over to his arch enemy Admiral Screed.",2.127,/qFCpFFa8EzzUJFq8mmrM4jTQ7Bb.jpg,1986-06-07,Star Wars: Droids - The Great Heep,False,7.4,8
9,False,,[],889016,fr,The Star Wars Stories,,1.96,,,The Star Wars Stories,False,0.0,0
10,False,,[35],432052,en,Saving Star Wars,Two Star Wars fans venture to deliver a letter to George Lucas.,1.468,,2004-06-09,Saving Star Wars,False,10.0,1
11,False,,"[878, 16, 12, 10751]",207950,en,Star Wars: Droids - Treasure of the Hidden Planet,"Mungo Baobab and his droids, Threepio and Artoo, are trailing the Rainbow comets of Manda in search of the fabled Roon system. Before they get there, they make an enemy out of the greedy Governor Koong. On Roon, they meet Auren Yomm and join her Umbo racing team in the Roon Games. Mungo takes up his old uncle Ogger's quest of finding the source of the valuable Roonstones. Meanwhile, Koong uses germ warfare against the rebellious province of Umboo and it becomes a race against time to find a cure for the Rooze infection. Written by Il Tesoro",3.13,/uSv5RT8NScJ7Doy2pZhXiAmXNDR.jpg,2004-11-30,Star Wars: Droids - Treasure of the Hidden Planet,True,5.5,5
12,False,,"[28, 12, 878]",917703,en,Star Wars - Die Dunkelheit kehrt zurück,Two boys wake up on a strange planet not knowing where they are and only partly knowing who they are.,1.475,/68NwRqnfQjo7gJudv3MI2MDrO9p.jpg,2018-10-11,Star Wars - The Darkness Returned,False,4.0,1
13,False,/pmKhN5SsjI67OMbyMS4zaalGkk1.jpg,"[10751, 14, 878, 16]",81234,en,LEGO Star Wars: Revenge of The Brick,"Anakin Skywalker and Obi-Wan Kenobi attempt to stop the Separatists from invading Kashyyyk. Meanwhile, Master Yoda must defeat an evil army of droids.",2.897,/wi5IvbMRGD8fko6vv58NrogdJdd.jpg,2005-08-05,LEGO Star Wars: Revenge of The Brick,False,6.6,20
14,False,/1dzQeKE3COKrvBs6Q2heIKP4cmT.jpg,[99],253150,en,Plastic Galaxy: The Story of Star Wars Toys,"Plastic Galaxy explores the ground breaking and breathtaking world of 'Star Wars' toys. Through interviews with former Kenner employees, experts, authors, and collectors, the documentary looks at the toys' history, influence, and the passions they elicit today.",4.266,/uJxlQhzz9gYDUvHJ6qaTc166JuZ.jpg,2014-01-14,Plastic Galaxy: The Story of Star Wars Toys,False,6.8,22
15,False,,[],921334,en,Star Wars: SC 38 Reimagined,"""Scene 38 ReImagined"" is about the final confrontation between Ben Kenobi & Darth Vader in ""A New Hope"" nearly 20 years after the events of ""Revenge Of The Sith.""  This is a one-off story driven scene reflecting the characters in its chronological order from the point of Revenge of the Sith through Rebels, Rogue One, and all canon material leading to A New Hope.",1.96,/pNw8okZgCIkG3NtPbQZtJUJdaF6.jpg,2019-05-08,Star Wars: SC 38 Reimagined,False,0.0,0
16,False,,[878],432038,en,Star Wars Downunder,"The film tells the story of a lone Jedi: Merve Bushwacker, returning home after a long absence. His mission? To partake in a refreshing beverage, known locally as amber fluid. On his arrival, he is dismayed to discover the planet has become as dry as a dead dingo′s donger, thanks to the tyrannical rule of Darth Drongo. Drongo has hoarded all the amber fluid in his impenetrable fortress “Dunny’s Deep” for reasons unknown. Can Merve, and a motley collection of unlikely allies band together to topple Drongo’s evil regime? Will liberty and amber fluid flow freely once more?",1.098,/pj3XjbPvQQRVGvcWsGx0jcFZVIA.jpg,2013-11-18,Star Wars Downunder,False,4.3,4
17,False,,"[99, 878]",277499,en,From Star Wars to Star Wars: The Story of Industrial Light & Magic,"The incredible evolution of George Lucas' special effects dream factory, including an inside look at ""Star Wars: Episode One - The Phantom Menace.""",1.855,,1999-06-15,From Star Wars to Star Wars: The Story of Industrial Light & Magic,False,8.0,2
18,False,,"[878, 16, 12, 10751]",207949,en,Star Wars Droids: The Pirates and the Prince,"Artoo, Threepio and a broken down android are traded into the hands of young miner Jann Tosh. The android turns out to be an alien with amnesia and a price on his head. It is in fact Mon Julpa, prince of Tammuz-an, who has been put in this predicament by the power hungry vizier Zatec-Cha. Jann, the droids, and a female freight pilot named Jessica Meade help Julpa claim his throne, battle the Pirates of Tarnoonga and settle a dispute with Tammuz-an clan leader Lord Toda. Written by Il Tesoro",2.083,/aINuYj29hEy0AhQvlA2HfMkWG06.jpg,1997-10-26,Star Wars Droids: The Pirates and the Prince,True,4.0,1
19,False,,[],778586,en,WCCW Christmas Star Wars '82,"Kerry Von Erich faces Ric Flair in a bloody Steel Cage Match with Michael ""P.S"" Hayes as referee with the NWA World's Heavyweight Championship hanging in the balance!",1.376,,1982-12-25,WCCW Christmas Star Wars '82,True,0.0,0
0,False,,"[12, 28, 878]",879236,en,Star Wars Wars,"The six Star Wars films playing at the same time. The films are synchronized to the very first frame of the main title, STAR WARS, as to not allow the varying lengths and start times of the 20th Century Fox logo to influence possible narrative outcomes in the films. Visually the films were layered into Adobe After Effects at 100% opacity. The blending mode ""Lighter Color"" was chosen because its blending properties operated the same no mater what the layer order was. It was important to me that each film had equal opportunity. The ""Lighter Color"" blending mode gives preference to brighter pixels, therefore brighter scenes obliterate darker scenes.",0.926,/nULCrA6l8AYWGzWc6DHN2kSOMZu.jpg,2015-06-16,Star Wars Wars,False,0.0,0
1,False,/3t1CxhG0P3H2kv866Vgh1ETUwKi.jpg,[99],501244,fr,Star wars 40 ans,,0.963,/oMMkmBbwgjbOpPLuIZnNsBAfyUs.jpg,2017-10-19,Star wars 40 ans,False,6.8,2
2,False,,"[10751, 16]",292404,en,Star Wars: Ewoks - The Haunted Village,"Morag the Tulga Witch seeks revenge on her old enemy Logray, shaman of the Ewoks, who holds the magic Sunstar while she possesses it's darker half, the Shadowstone.",1.303,/v6k8pHBvG15UYWhcsjb2aeGvWYY.jpg,1997-02-11,Star Wars: Ewoks - The Haunted Village,False,0.0,0
3,False,,"[99, 35]",521298,en,Star Wars Nothing But Star Wars,"The STAR WARS NOTHING BUT STAR WARS video mixtape is the ultimate feature-length comedy compilation documenting the last 40 years of the the Star Wars phenomenon and comprised entirely of unseen, lost, forgotten and is-this-real-or-am-I-dreaming archival Original Trilogy video madness.  Featuring Star Wars ripoffs, Star Wars TV specials, Star Wars commercials, Star Wars interviews and even shameless Star Wars pornography [rated R].  It’s Star Wars gone wild, gone weird and gone wrong, and there’s nothing else like it.  C-3PO rapping?  It’s here. Mark Hamill turns into a homicidal maniac?  Yep, we got it.  Jabba the Hutt Italo disco? Check. Tusken Raider Voyeur Pornography? Oh yeah, and lots of it. You’ve never seen Star Wars like this and you’ll never see Star Wars quite the same way after watching.",0.6,/50Xf9wCG3OK2xvaEnZO7ZcmlPCa.jpg,2017-05-29,Star Wars Nothing But Star Wars,False,5.0,1
4,False,,[99],533721,en,The Stories: The Making of 'Rogue One: A Star Wars Story',The Making of 'Rogue One: A Star Wars Story',4.067,/xuI27etRYWk7vP0aCUTTnIfnpC4.jpg,2017-04-04,The Stories: The Making of 'Rogue One: A Star Wars Story',False,6.6,5
5,False,,"[28, 12, 878]",890826,en,Star Wars: Revelations,"Seers once shaped the path of the Jedi Order. But their visions grew unreliable and the Jedi came to distrust those with the ability. Seers hid their visions or left the Order forever.  In the wake of the Temple's destruction a power struggle has emerged between Darth Vader, the Dark Lord of the Sith, and Zhanna, the Emperor's Hand. Each seek to eliminate the last of the Jedi and gain the Emperor's favor.  Caught between them is one woman who cannot deny the truth of her visions as all race to possess an ancient Jedi secret.",0.84,/lk1wXxCwg4MgVcBMtoEw4bh9kLi.jpg,2005-04-16,Star Wars: Revelations,False,5.0,2
